tenure,MonthlyCharges,Contract,TotalCharges
19,20.15,Two year,387.7
62,94.95,One year,5791.85
51,78.65,One year,3950.85
72,94.25,Two year,6849.75
10,89.5,Month-to-month,863.1
37,68.1,One year,2479.25
35,50.15,Month-to-month,1655.35
10,60.95,Month-to-month,629.55
1,20.15,Month-to-month,20.15
26,20.25,Month-to-month,493.95
72,82.3,Two year,5980.55
38,99.55,Month-to-month,3734.25
18,99.85,Month-to-month,1776.95
56,52.7,One year,3019.7
36,54.45,One year,1893.5
22,88.75,Month-to-month,1885.15
65,104.1,Two year,6700.05
27,53.8,Month-to-month,1389.85
29,74.2,Month-to-month,1993.25
10,95.35,Month-to-month,898.35
50,104.95,Month-to-month,5222.35
9,86.25,Month-to-month,770.5
23,24.35,One year,538.5
24,54.75,Month-to-month,1338.15
1,55.7,Month-to-month,55.7
20,64.4,Month-to-month,1398.6
58,60.3,One year,3563.8
47,20.15,Two year,1046.2
72,93.05,Two year,6735.05
14,50.2,Month-to-month,668.85
62,54.75,One year,3425.35
37,76.5,Month-to-month,2868.15
29,34.3,Month-to-month,1004.75
62,19.2,Two year,1123.65
46,99.8,Month-to-month,4391.25
2,94.2,Month-to-month,167.5
50,95.7,Month-to-month,4729.75
24,104.65,Month-to-month,2542.45
55,113.6,Two year,6292.7
64,115.1,Two year,7334.05
4,88.95,Month-to-month,355.2
6,29.45,Month-to-month,161.45
1,76.45,Month-to-month,76.45
37,62.8,Two year,2278.75
71,24.85,Two year,1901.0
29,55.35,One year,1636.95
7,89.35,Month-to-month,631.85
32,98.85,Month-to-month,3145.9
59,94.75,Month-to-month,5597.65
40,74.55,Month-to-month,3015.75
10,29.5,Month-to-month,255.25
27,19.15,One year,501.35
7,86.5,Month-to-month,582.5
65,24.75,Two year,1715.1
10,81.0,Month-to-month,818.05
23,84.4,Month-to-month,1936.85
47,85.3,Two year,4107.25
11,55.05,Month-to-month,608.15
12,34.0,Month-to-month,442.45
30,44.5,Month-to-month,1307.8
1,75.7,Month-to-month,75.7
57,109.4,One year,6252.7
11,70.2,Month-to-month,834.7
9,19.5,Month-to-month,150.35
4,70.05,Month-to-month,266.9
13,73.75,Month-to-month,956.65
35,20.75,One year,700.45
67,50.95,Two year,3521.7
51,47.85,One year,2356.75
1,51.25,Month-to-month,51.25
71,100.45,Two year,7159.7
29,79.3,Month-to-month,2414.55
33,103.75,One year,3361.05
11,36.05,One year,402.6
13,78.3,Month-to-month,1033.95
42,19.35,Two year,867.3
8,29.25,Month-to-month,226.95
1,44.4,Month-to-month,44.4
72,108.2,Two year,7840.6
47,87.2,Month-to-month,4017.45
30,85.45,Month-to-month,2509.95
51,111.55,One year,5720.35
16,94.65,Month-to-month,1461.15
34,100.45,Month-to-month,3414.65
8,86.55,Month-to-month,649.65
72,24.85,Two year,1871.85
60,71.75,One year,4374.55
72,115.8,Two year,8424.9
12,20.5,Month-to-month,255.5
65,82.5,Two year,5215.1
32,19.45,Month-to-month,674.55
67,94.35,One year,6341.45
45,78.8,One year,3597.5
60,59.85,Two year,3590.2
1,55.45,Month-to-month,55.45
58,64.9,Two year,3795.45
9,94.75,Month-to-month,889.9
1,74.35,Month-to-month,74.35
8,24.4,One year,203.95
2,45.15,Month-to-month,98.5
47,20.25,Two year,873.4
1,74.45,Month-to-month,74.45
1,25.85,One year,25.85
10,100.6,Month-to-month,1060.2
29,24.85,One year,788.05
58,75.8,Two year,4415.75
14,19.35,One year,324.8
7,20.75,Month-to-month,141.1
5,83.6,Month-to-month,404.2
18,20.15,One year,390.85
25,19.9,One year,505.45
46,64.2,Two year,3009.5
1,50.8,Month-to-month,50.8
1,48.45,Month-to-month,48.45
68,84.7,Two year,5711.05
18,44.35,Month-to-month,768.05
8,80.0,Month-to-month,624.6
64,19.55,Two year,1240.15
4,89.2,Month-to-month,346.2
63,79.85,Two year,4861.45
54,105.85,One year,5826.65
54,74.55,Two year,4191.45
72,69.85,Two year,5102.35
4,50.95,Month-to-month,207.35
72,91.15,Two year,6637.9
60,49.45,Two year,2907.55
20,90.2,Month-to-month,1776.55
35,70.55,Month-to-month,2419.0
2,49.05,Month-to-month,91.1
26,50.35,Month-to-month,1277.5
14,82.65,Month-to-month,1185.0
1,74.7,Month-to-month,74.7
53,19.85,One year,1039.45
1,19.3,Month-to-month,19.3
58,20.3,Two year,1131.5
5,51.0,Month-to-month,286.8
53,105.55,Two year,5682.25
4,20.15,Month-to-month,91.4
49,98.7,Month-to-month,4920.55
2,90.0,Month-to-month,190.05
2,67.75,Month-to-month,116.65
3,74.75,Month-to-month,229.5
7,93.85,Month-to-month,635.6
14,44.6,One year,641.25
18,99.4,Month-to-month,1742.95
27,81.3,Month-to-month,2272.8
66,59.75,Two year,3996.8
43,86.45,Two year,3574.5
69,112.55,Two year,7806.5
71,93.25,Month-to-month,6669.45
50,83.4,Month-to-month,4113.7
51,19.1,One year,1007.8
27,80.85,One year,2204.35
70,20.05,Two year,1360.25
2,79.6,Month-to-month,195.05
6,49.65,Month-to-month,267.35
59,101.1,Month-to-month,6039.9
10,92.5,Month-to-month,934.1
29,98.5,Month-to-month,3004.15
5,20.35,Month-to-month,92.75
21,94.25,Month-to-month,1973.75
62,104.3,One year,6613.65
36,19.45,Two year,754.5
3,19.85,Month-to-month,64.55
69,116.0,Two year,8182.85
2,30.9,Month-to-month,59.05
8,85.2,Month-to-month,627.4
3,30.75,Month-to-month,82.85
1,45.75,Month-to-month,45.75
12,98.9,Month-to-month,1120.95
18,75.6,Month-to-month,1395.05
20,24.9,Month-to-month,505.95
22,59.0,Month-to-month,1254.7
5,46.0,Month-to-month,221.7
24,25.15,Two year,553.0
64,69.25,Two year,4447.75
26,98.65,Month-to-month,2537.0
68,105.3,Month-to-month,7299.65
60,20.6,Two year,1093.0
25,55.1,One year,1466.1
51,25.5,Two year,1281.25
7,81.25,Month-to-month,580.1
39,19.35,One year,779.2
72,80.45,Two year,5886.85
27,95.0,Month-to-month,2462.55
56,85.85,One year,4793.8
57,19.6,Two year,1134.25
17,106.65,Month-to-month,1672.1
1,56.25,Month-to-month,56.25
35,19.6,Two year,686.95
13,72.8,Month-to-month,930.05
69,19.75,Two year,1375.4
1,19.25,Month-to-month,19.25
7,74.65,Month-to-month,544.55
72,116.75,Two year,8277.05
3,98.7,Month-to-month,293.65
53,61.1,One year,3357.9
38,81.85,Month-to-month,3141.7
4,80.3,Month-to-month,324.2
62,84.5,Two year,5193.2
1,49.05,Month-to-month,49.05
46,84.25,Month-to-month,3847.6
19,59.55,Month-to-month,1144.6
72,91.35,Two year,6697.2
38,25.05,Two year,963.95
71,105.7,One year,7472.15
16,100.0,Month-to-month,1534.75
66,105.95,One year,6975.25
11,95.0,Month-to-month,1120.3
66,84.0,Two year,5714.25
28,91.0,Month-to-month,2626.15
1,35.05,Month-to-month,35.05
72,109.5,Two year,7854.9
18,19.35,Two year,309.25
49,19.0,One year,918.7
41,104.4,Month-to-month,4133.95
1,70.45,Month-to-month,70.45
27,75.5,Month-to-month,1893.95
5,20.65,Month-to-month,93.55
43,35.2,One year,1463.7
47,55.3,Month-to-month,2654.05
1,49.55,Month-to-month,49.55
15,59.45,Month-to-month,892.65
7,71.05,Month-to-month,472.65
14,19.6,Month-to-month,300.4
43,80.45,Month-to-month,3398.9
29,84.45,Month-to-month,2467.1
46,24.45,One year,1066.15
24,49.3,Month-to-month,1233.25
51,59.3,One year,3014.65
70,60.35,One year,4138.7
12,45.9,Month-to-month,505.95
3,19.65,Month-to-month,68.35
9,84.45,Month-to-month,762.5
15,84.45,Month-to-month,1287.85
72,24.25,Two year,1784.5
4,20.4,One year,84.75
72,103.95,Two year,7556.9
10,20.35,One year,176.3
5,28.45,Month-to-month,131.05
8,85.65,Month-to-month,659.45
26,91.25,Month-to-month,2351.8
68,70.9,Two year,4911.35
2,20.2,One year,34.75
8,74.5,Month-to-month,606.55
3,19.85,Month-to-month,57.2
13,98.15,Month-to-month,1230.25
34,69.15,Month-to-month,2275.1
72,65.7,Two year,4575.35
21,43.55,Month-to-month,1011.5
40,84.85,Month-to-month,3303.05
16,54.85,Two year,916.15
26,56.05,One year,1553.2
49,99.05,Month-to-month,4853.75
46,19.2,Two year,908.15
11,79.5,Month-to-month,868.5
72,84.45,Two year,6033.1
47,20.45,Two year,943.0
1,19.25,Month-to-month,19.25
59,89.75,Month-to-month,5496.9
71,87.95,Two year,6365.35
25,20.05,One year,520.1
72,107.7,Two year,7919.8
2,20.0,Month-to-month,32.7
35,62.15,One year,2215.45
71,104.65,One year,7288.4
15,94.65,Month-to-month,1285.05
2,20.45,One year,34.8
26,79.3,Month-to-month,2015.8
3,88.3,Month-to-month,273.75
49,49.8,Two year,2398.4
27,75.75,Month-to-month,1929.0
3,50.5,Month-to-month,147.75
45,51.0,One year,2264.5
37,104.5,One year,3778.0
72,116.85,Two year,8477.7
62,92.05,One year,5755.8
54,59.8,Two year,3246.45
15,101.9,One year,1667.25
1,20.05,Month-to-month,20.05
1,25.2,Month-to-month,25.2
72,61.2,Two year,4390.25
30,79.3,One year,2427.1
40,78.85,Month-to-month,3126.85
71,71.1,Two year,5224.95
18,33.5,Month-to-month,600.0
17,25.1,Month-to-month,382.8
40,20.15,Two year,804.85
72,110.8,Two year,7882.25
2,19.75,Month-to-month,39.3
53,24.05,One year,1301.9
71,116.25,Two year,8564.75
20,96.55,Month-to-month,1901.65
7,54.85,Month-to-month,370.4
15,84.35,Month-to-month,1302.65
72,24.05,Two year,1709.15
39,23.8,Two year,903.8
45,25.5,Two year,1121.05
5,84.0,Month-to-month,424.75
47,39.65,One year,1798.65
4,19.85,Month-to-month,63.0
47,100.75,Month-to-month,4669.2
33,95.3,Month-to-month,3275.15
15,25.25,Month-to-month,394.85
66,89.4,Month-to-month,5976.9
6,90.1,Month-to-month,521.3
17,19.7,Month-to-month,340.35
41,94.9,Month-to-month,3848.0
56,99.8,One year,5515.45
28,54.9,Month-to-month,1505.15
72,53.65,Two year,3784.0
1,49.75,Month-to-month,49.75
56,106.6,Month-to-month,5893.95
70,79.15,Two year,5536.5
44,90.65,One year,3974.15
2,44.35,Month-to-month,81.25
58,71.6,Two year,4230.25
48,83.45,One year,3887.85
11,84.8,Month-to-month,888.75
72,115.55,Two year,8425.3
72,42.1,Two year,2962.0
26,85.9,Month-to-month,2196.45
52,39.9,Month-to-month,2020.9
52,20.1,Two year,1078.75
27,53.45,Month-to-month,1461.45
1,79.05,Month-to-month,79.05
45,81.4,Month-to-month,3775.85
61,89.2,Month-to-month,5500.6
2,80.45,Month-to-month,137.1
11,66.35,Month-to-month,740.8
21,60.25,One year,1258.35
1,71.15,Month-to-month,71.15
6,98.25,Month-to-month,560.6
71,73.5,Two year,5357.75
72,70.65,Two year,5011.15
67,60.95,One year,4119.4
21,58.85,One year,1215.45
72,19.7,Two year,1421.9
33,20.1,One year,620.55
3,95.2,Month-to-month,292.85
31,93.8,Month-to-month,3019.5
55,50.05,One year,2743.45
1,74.35,Month-to-month,74.35
10,18.85,Month-to-month,163.2
1,20.45,Month-to-month,20.45
14,95.6,Month-to-month,1273.3
66,74.25,One year,4859.25
72,106.1,Two year,7657.4
11,29.6,Month-to-month,346.45
32,93.4,Month-to-month,2979.3
7,101.95,Month-to-month,700.85
31,59.95,One year,1848.8
61,43.7,One year,2696.55
1,70.15,Month-to-month,70.15
71,104.05,Two year,7413.55
1,70.6,Month-to-month,70.6
3,90.7,Month-to-month,237.65
4,78.45,Month-to-month,330.05
27,85.9,One year,2220.1
3,95.4,Month-to-month,293.15
1,20.3,Month-to-month,20.3
72,89.7,Two year,6339.3
61,50.7,One year,3088.75
68,110.2,Two year,7467.5
2,20.7,Month-to-month,39.85
9,20.15,Month-to-month,238.15
31,20.4,Two year,609.1
3,74.4,Month-to-month,215.8
35,109.95,Month-to-month,3782.4
15,20.1,One year,302.45
1,89.3,Month-to-month,89.3
42,106.15,Month-to-month,4512.7
1,45.4,Month-to-month,45.4
71,95.75,Two year,6849.4
50,20.15,Two year,930.9
55,25.65,Two year,1388.0
47,74.05,Two year,3496.3
27,19.55,Two year,520.55
25,19.9,One year,527.5
36,99.15,Month-to-month,3615.6
9,90.35,One year,767.9
45,102.15,One year,4735.35
63,79.8,Two year,5034.05
8,68.55,Month-to-month,564.35
72,65.6,Two year,4566.5
17,80.85,Month-to-month,1400.85
51,77.5,Month-to-month,3807.35
8,20.85,Two year,161.65
3,19.75,Month-to-month,58.85
71,23.9,Two year,1663.5
65,92.7,Two year,5968.4
72,108.4,Two year,7767.25
72,64.8,Two year,4719.75
69,110.05,Two year,7430.75
62,43.7,Two year,2618.3
54,115.6,One year,6431.05
3,19.1,Two year,52.0
23,59.95,Month-to-month,1406.0
35,20.75,Month-to-month,739.9
52,49.75,Month-to-month,2535.55
2,91.15,Month-to-month,168.5
64,19.7,Two year,1274.05
1,24.4,Month-to-month,24.4
60,74.35,Month-to-month,4453.3
3,35.15,Month-to-month,99.75
72,105.0,Two year,7589.8
3,85.7,Month-to-month,256.75
34,24.7,Month-to-month,780.2
43,75.35,Month-to-month,3161.4
66,102.85,One year,6976.75
10,24.8,Month-to-month,223.9
35,102.35,One year,3626.1
1,20.25,Month-to-month,20.25
29,48.95,Month-to-month,1323.7
50,69.75,Month-to-month,3557.7
1,75.1,Month-to-month,75.1
23,64.9,One year,1509.8
13,74.4,Month-to-month,896.75
68,54.45,Month-to-month,3687.75
15,19.6,Two year,331.6
44,70.95,One year,3250.45
40,83.85,Month-to-month,3532.25
48,24.0,Two year,1183.05
1,75.5,Month-to-month,75.5
53,53.6,One year,2879.2
19,44.9,Month-to-month,839.65
1,44.15,Month-to-month,44.15
39,81.9,One year,3219.75
43,104.3,One year,4451.85
4,87.1,Month-to-month,341.45
71,80.6,Two year,5708.2
47,85.3,Month-to-month,4045.65
29,70.75,Month-to-month,1974.8
58,45.35,One year,2540.1
15,49.1,Month-to-month,679.55
72,84.05,Two year,6052.25
43,55.55,Month-to-month,2342.2
25,98.5,Month-to-month,2514.5
2,20.35,Month-to-month,41.85
5,44.05,Month-to-month,202.15
15,59.65,Month-to-month,867.1
11,19.65,Two year,225.75
37,26.45,Month-to-month,911.6
11,100.75,Month-to-month,1129.75
17,74.55,Month-to-month,1215.8
62,97.95,One year,5936.55
27,49.0,Month-to-month,1291.35
25,20.2,One year,507.9
50,19.8,Two year,1013.2
69,99.45,Month-to-month,7007.6
28,25.55,One year,672.2
35,20.5,Two year,759.35
29,19.1,One year,529.5
65,103.15,One year,6792.45
35,19.9,One year,666.0
51,19.55,Two year,1086.75
4,45.65,Month-to-month,191.05
65,84.2,Two year,5324.5
23,99.95,One year,2292.75
38,80.45,Month-to-month,3162.65
43,84.85,Month-to-month,3645.6
12,25.25,Two year,274.7
65,100.15,One year,6643.5
14,95.8,Month-to-month,1346.3
20,85.25,Month-to-month,1734.5
56,61.3,Two year,3346.8
42,25.1,Month-to-month,1097.15
11,72.9,Month-to-month,818.45
2,82.0,Month-to-month,184.65
3,19.65,Month-to-month,60.65
1,69.35,Month-to-month,69.35
11,19.55,Two year,223.15
3,65.25,Month-to-month,209.9
1,19.55,Month-to-month,19.55
68,19.95,Two year,1303.25
53,20.2,One year,1068.15
60,101.4,One year,6176.6
66,88.9,One year,6000.1
28,59.0,One year,1654.45
5,70.05,Month-to-month,302.6
24,39.1,Month-to-month,971.3
45,54.15,One year,2319.8
6,94.05,Month-to-month,518.75
64,80.3,One year,5017.7
58,92.85,Month-to-month,5305.05
5,83.15,Month-to-month,446.05
31,59.05,Month-to-month,1882.8
35,100.25,Month-to-month,3527.6
5,20.2,Month-to-month,83.75
16,69.95,Month-to-month,1205.5
72,105.75,One year,7629.85
60,94.15,One year,5811.8
67,26.3,Two year,1688.9
72,90.35,Two year,6563.4
50,19.85,One year,943.1
10,24.0,Month-to-month,226.55
4,97.95,Month-to-month,384.5
4,74.9,Month-to-month,321.75
23,86.8,Month-to-month,1975.85
6,79.7,Month-to-month,497.6
12,74.75,Month-to-month,827.05
10,20.55,Month-to-month,252.75
12,84.6,Month-to-month,959.9
22,67.5,One year,1544.05
47,75.45,Month-to-month,3545.1
24,98.75,Month-to-month,2407.3
34,64.4,One year,2088.75
9,21.25,Month-to-month,204.55
28,74.9,Month-to-month,2068.55
69,64.15,Two year,4254.1
39,50.65,Month-to-month,1905.4
27,110.5,One year,2857.6
2,20.5,One year,38.25
1,19.4,Month-to-month,19.4
65,89.75,One year,5769.6
28,54.3,One year,1546.3
12,84.45,Month-to-month,1059.55
1,70.45,Month-to-month,70.45
27,79.5,Month-to-month,2180.55
66,25.3,Two year,1672.35
72,59.75,Two year,4265.0
58,89.85,One year,5125.75
7,99.8,Month-to-month,673.25
17,94.4,Month-to-month,1607.2
70,24.7,Two year,1685.9
1,45.6,Month-to-month,45.6
64,24.7,One year,1642.75
55,77.75,Month-to-month,4266.4
51,79.6,One year,3974.7
5,85.2,Month-to-month,474.8
43,115.05,Two year,4895.1
53,101.9,Month-to-month,5549.4
63,19.7,Two year,1275.85
27,20.35,Two year,531.6
22,69.75,Month-to-month,1545.4
6,85.15,Month-to-month,503.6
31,89.3,Month-to-month,2823.0
64,81.05,Month-to-month,5135.35
71,20.85,One year,1539.75
68,54.1,Two year,3794.5
1,53.55,Month-to-month,53.55
64,103.5,Month-to-month,6548.65
2,70.3,Month-to-month,132.4
1,44.0,Month-to-month,44.0
28,64.4,Month-to-month,1802.15
2,20.25,Month-to-month,36.8
72,89.55,Two year,6448.85
28,91.25,One year,2483.65
55,100.9,One year,5448.6
65,71.0,Two year,4386.2
34,108.9,Month-to-month,3625.2
53,60.05,One year,3229.65
37,19.8,Two year,726.1
15,85.9,Month-to-month,1269.55
71,82.55,Two year,5832.65
7,74.35,Month-to-month,533.6
67,111.2,Two year,7530.8
52,95.65,Month-to-month,5088.4
69,108.75,One year,7493.05
24,74.8,One year,1821.2
7,78.5,Month-to-month,571.05
39,25.45,One year,958.45
50,20.55,Two year,1067.65
71,98.65,One year,6962.85
13,19.55,Two year,265.3
1,18.85,Month-to-month,18.85
29,94.2,Month-to-month,2607.6
27,83.85,Month-to-month,2310.2
48,55.8,One year,2651.2
6,91.0,Month-to-month,531.0
59,76.75,One year,4541.9
30,105.7,Month-to-month,3181.8
32,20.55,One year,654.55
3,92.0,Month-to-month,266.8
5,55.7,Month-to-month,259.4
70,89.0,Two year,6293.2
1,69.9,Month-to-month,69.9
54,91.3,Two year,4965.0
72,106.1,Two year,7548.6
66,65.7,Two year,4378.9
9,58.5,Month-to-month,539.85
41,78.45,Two year,3126.45
71,82.7,Two year,5831.2
72,110.9,Two year,8240.85
72,110.45,Two year,7982.5
12,83.8,Month-to-month,1029.75
55,64.2,One year,3627.3
72,103.75,Two year,7346.2
65,108.8,Month-to-month,7082.45
6,80.5,Month-to-month,502.85
4,70.9,Month-to-month,273.0
62,102.0,One year,6529.25
67,24.65,Two year,1620.45
8,94.0,Month-to-month,773.65
72,20.8,Two year,1521.2
66,45.55,One year,3027.25
10,72.15,Month-to-month,794.25
43,109.55,One year,4830.25
22,61.15,Month-to-month,1422.05
12,81.45,Month-to-month,912.0
10,45.8,Month-to-month,436.2
27,48.7,One year,1421.75
8,20.05,Month-to-month,163.6
12,20.3,Two year,224.5
71,53.95,Two year,3888.65
50,105.95,Month-to-month,5341.8
70,108.15,One year,7930.55
7,44.75,Month-to-month,333.65
46,100.7,Month-to-month,4541.2
6,48.95,Month-to-month,273.25
6,89.25,Month-to-month,487.05
47,26.9,One year,1250.85
36,93.6,Month-to-month,3366.05
8,94.7,Month-to-month,740.3
40,60.3,One year,2448.5
61,104.0,One year,6363.45
72,97.95,Two year,7114.25
39,99.1,One year,3877.95
8,19.55,Month-to-month,161.15
1,89.1,Month-to-month,89.1
33,59.55,Two year,2016.3
31,86.55,Month-to-month,2697.4
9,89.45,Month-to-month,853.1
70,19.85,Two year,1328.35
55,19.5,One year,1026.35
4,19.4,Month-to-month,93.4
48,78.75,One year,3682.45
61,19.75,Two year,1124.2
2,69.3,Month-to-month,153.8
6,50.8,Month-to-month,288.05
3,29.6,Month-to-month,79.45
22,43.75,One year,903.6
33,79.95,One year,2684.85
12,99.95,Month-to-month,1132.75
72,114.65,Two year,8333.95
58,65.25,Month-to-month,3791.6
59,85.55,One year,5084.65
34,77.2,One year,2753.8
52,24.8,Two year,1229.1
10,45.55,Month-to-month,402.6
16,59.4,Month-to-month,1023.9
58,108.85,One year,6287.25
10,94.9,Month-to-month,1048.85
3,89.85,Month-to-month,244.45
69,19.8,Two year,1436.95
13,30.85,Month-to-month,394.1
25,89.15,Month-to-month,2257.75
1,20.05,Month-to-month,20.05
1,62.05,Month-to-month,62.05
68,102.1,Two year,7149.35
1,90.85,Month-to-month,90.85
8,100.85,Month-to-month,819.55
1,25.25,Month-to-month,25.25
46,53.1,Month-to-month,2459.8
45,103.65,Month-to-month,4747.85
8,103.35,Month-to-month,847.3
5,94.85,Month-to-month,462.8
22,93.2,Month-to-month,2157.3
58,95.3,Month-to-month,5817.7
51,49.65,Month-to-month,2553.35
39,48.95,Month-to-month,1880.85
26,26.0,One year,684.05
53,85.45,Month-to-month,4517.25
1,80.0,Month-to-month,80.0
1,29.95,Month-to-month,29.95
18,85.6,Month-to-month,1601.5
46,20.05,Two year,902.0
3,79.25,Month-to-month,267.6
12,44.55,Month-to-month,480.6
14,55.0,Month-to-month,771.95
5,70.25,Month-to-month,331.9
28,100.35,One year,2799.0
59,93.85,Month-to-month,5574.75
10,44.85,Month-to-month,435.4
21,80.9,One year,1714.95
5,45.7,Month-to-month,198.0
10,26.1,Two year,225.55
5,71.45,Month-to-month,371.6
9,79.9,Month-to-month,741.7
11,97.85,Month-to-month,1105.4
47,73.6,Two year,3522.65
3,41.35,Month-to-month,107.25
1,75.9,Month-to-month,75.9
23,40.65,One year,947.4
16,94.45,Month-to-month,1511.2
27,81.7,One year,2212.55
68,25.75,Two year,1686.15
2,51.4,Month-to-month,96.8
5,20.35,Month-to-month,122.0
67,75.7,Month-to-month,5060.85
52,57.95,One year,3042.25
29,85.8,Month-to-month,2440.25
1,70.1,Month-to-month,70.1
4,70.15,Month-to-month,268.35
69,85.35,Two year,5897.4
16,38.9,Month-to-month,664.4
24,93.0,Month-to-month,2248.05
42,103.8,Month-to-month,4327.5
60,50.8,Month-to-month,3027.4
10,95.2,Month-to-month,930.4
9,59.5,Month-to-month,530.05
24,69.45,Month-to-month,1614.05
18,20.05,Month-to-month,358.5
72,115.6,Two year,8220.4
64,86.8,Month-to-month,5327.25
2,19.4,Month-to-month,50.6
68,90.8,Two year,6302.85
1,102.45,Month-to-month,102.45
59,20.35,One year,1267.0
50,98.25,One year,4858.7
72,110.45,Two year,8058.85
57,94.7,One year,5468.95
18,20.35,One year,369.6
62,115.05,One year,7133.45
24,20.1,One year,533.9
37,40.2,Month-to-month,1448.8
5,85.75,Month-to-month,470.95
3,69.55,Month-to-month,222.3
29,75.3,Month-to-month,2263.4
31,49.2,Month-to-month,1498.55
24,20.8,One year,469.65
18,74.8,Month-to-month,1438.05
17,91.85,Month-to-month,1574.45
69,66.9,Two year,4577.9
48,19.95,One year,936.7
54,20.4,Two year,1090.6
13,78.75,Month-to-month,995.35
22,85.35,Month-to-month,1961.6
18,25.15,Month-to-month,476.8
16,90.7,Month-to-month,1374.9
5,80.6,Month-to-month,415.55
53,20.25,Two year,1048.45
44,73.85,Month-to-month,3122.4
44,100.55,Month-to-month,4398.15
70,89.75,Two year,6367.2
6,105.3,Month-to-month,545.2
33,51.45,One year,1758.9
11,20.0,One year,211.95
72,24.45,Two year,1709.1
9,79.75,Month-to-month,769.1
63,36.1,One year,2298.9
3,20.55,One year,57.4
66,105.65,Two year,6844.5
66,62.5,Two year,4136.4
1,71.1,Month-to-month,71.1
30,94.4,One year,2638.1
13,70.15,Month-to-month,931.75
72,79.5,Two year,5661.7
8,55.75,Month-to-month,446.8
28,106.1,One year,2847.4
65,105.05,Month-to-month,6914.95
11,82.9,Month-to-month,880.05
26,19.2,One year,459.6
59,50.25,Month-to-month,2997.45
67,19.4,Two year,1284.2
71,19.85,Two year,1379.6
57,71.1,One year,4140.1
71,47.05,Two year,3263.6
57,20.55,Two year,1252.85
72,26.1,Two year,1851.45
1,75.35,Month-to-month,75.35
15,96.5,Month-to-month,1392.25
4,80.15,Month-to-month,319.85
23,44.95,Month-to-month,996.85
71,106.8,Two year,7623.2
45,81.3,Month-to-month,3541.1
64,108.5,One year,6880.85
20,59.2,Month-to-month,1191.2
31,79.85,Month-to-month,2404.15
3,94.85,Month-to-month,335.75
20,20.65,One year,417.5
57,97.55,One year,5598.0
8,29.4,Month-to-month,221.9
33,19.45,One year,600.25
67,54.2,Two year,3623.95
71,82.0,Two year,5999.85
59,64.65,Month-to-month,3735.45
1,20.45,Month-to-month,20.45
57,74.6,One year,4368.95
1,59.2,Month-to-month,59.2
9,99.3,Month-to-month,918.75
4,20.15,Month-to-month,68.45
72,88.55,Two year,6362.35
62,106.05,One year,6703.5
5,80.2,Month-to-month,384.25
22,94.95,Month-to-month,2142.8
35,25.45,Two year,809.25
12,79.95,Month-to-month,1043.4
28,20.25,Month-to-month,535.35
1,20.4,Month-to-month,20.4
67,104.1,One year,7040.85
72,97.75,Two year,6991.6
38,110.7,One year,4428.6
14,48.8,Month-to-month,664.4
47,86.95,One year,4138.9
63,24.65,Two year,1574.5
37,28.6,Month-to-month,973.55
1,74.2,Month-to-month,74.2
37,19.85,One year,717.5
9,40.65,Month-to-month,328.95
60,59.8,One year,3561.15
57,87.55,Month-to-month,4884.85
41,45.2,Month-to-month,1841.9
50,70.8,One year,3478.15
4,50.8,Month-to-month,202.3
9,79.35,Month-to-month,661.25
36,95.4,Month-to-month,3474.2
2,24.35,Month-to-month,41.85
65,94.55,Two year,6078.75
36,85.85,One year,3003.55
5,20.15,Month-to-month,117.95
71,107.5,Month-to-month,7713.55
3,26.4,Two year,121.25
55,19.7,One year,1140.05
5,47.15,Month-to-month,223.15
1,53.5,Month-to-month,53.5
68,80.35,Two year,5375.15
38,83.9,Month-to-month,3233.6
16,54.1,Month-to-month,889.0
67,72.35,One year,4991.5
72,116.95,Two year,8594.4
21,68.65,Month-to-month,1493.2
4,19.0,Month-to-month,78.9
3,29.2,Month-to-month,98.5
69,99.35,Two year,6856.45
2,93.85,Month-to-month,196.75
70,98.3,Two year,6859.5
1,21.0,Month-to-month,21.0
2,19.65,Month-to-month,38.8
11,90.6,Month-to-month,1020.2
13,96.65,Month-to-month,1244.5
60,19.65,Two year,1161.75
20,73.65,Month-to-month,1463.5
37,35.8,Two year,1316.9
30,20.7,One year,587.1
60,103.75,Month-to-month,5969.95
35,70.3,Month-to-month,2416.55
50,95.7,Month-to-month,4816.7
71,95.65,One year,6856.95
8,74.05,Month-to-month,600.15
38,24.25,One year,914.4
72,19.85,Two year,1434.1
42,95.55,Month-to-month,3930.6
57,95.0,One year,5535.8
60,110.8,Two year,6640.7
71,25.35,Two year,1847.55
11,23.15,Month-to-month,245.2
40,51.1,Month-to-month,2092.9
42,84.35,Two year,3571.6
1,44.45,Month-to-month,44.45
47,90.05,Month-to-month,4137.2
50,75.5,One year,4025.6
10,53.7,Two year,521.0
72,85.45,Two year,6227.5
72,99.4,Two year,7285.7
60,89.55,Two year,5231.2
3,75.15,Month-to-month,216.75
2,79.85,Month-to-month,152.45
1,80.05,Month-to-month,80.05
11,89.2,Month-to-month,990.3
49,98.35,Month-to-month,4889.2
70,113.65,Two year,7714.65
2,70.75,Month-to-month,154.85
16,98.75,Month-to-month,1587.55
10,99.85,Month-to-month,990.9
56,68.75,One year,3815.4
48,103.85,Month-to-month,4946.05
72,25.0,Two year,1802.55
1,20.9,Month-to-month,20.9
29,19.55,Two year,521.8
