tenure,MonthlyCharges,Contract,TotalCharges,Churn
67,105.4,One year,7035.6,No
7,45.75,Month-to-month,344.2,No
56,24.45,One year,1431.65,No
72,25.0,Two year,1849.2,No
72,85.25,Two year,6083.1,No
23,19.6,Two year,426.65,No
35,50.15,Month-to-month,1655.35,No
27,70.55,Month-to-month,1943.9,No
26,60.05,Month-to-month,1616.15,Yes
12,26.4,One year,314.95,No
40,20.15,Two year,804.85,No
7,58.85,Month-to-month,465.7,No
70,97.55,Month-to-month,6669.05,No
60,19.65,Two year,1161.75,No
39,25.25,One year,947.75,No
72,114.45,Two year,8375.05,No
1,34.7,Month-to-month,34.7,Yes
54,70.7,One year,3770.0,No
3,85.3,Month-to-month,264.8,Yes
63,75.55,Two year,4707.85,No
71,84.8,Two year,6152.4,No
42,20.65,One year,958.1,No
47,20.45,Two year,943.0,No
66,102.45,One year,6615.15,Yes
21,104.4,Month-to-month,2200.25,Yes
11,35.65,Month-to-month,425.1,No
1,99.75,Month-to-month,99.75,Yes
55,90.45,Month-to-month,5044.8,No
69,97.65,Two year,6743.55,No
3,73.85,Month-to-month,196.4,No
4,74.4,Month-to-month,299.7,Yes
30,69.1,Two year,2093.9,No
5,82.75,Month-to-month,417.75,No
71,24.4,Two year,1725.4,No
29,55.25,One year,1620.2,No
52,61.35,Month-to-month,3169.55,No
68,76.75,One year,5233.25,No
46,19.4,Two year,967.85,No
8,54.75,Month-to-month,438.05,No
72,19.7,Two year,1421.9,No
17,19.9,One year,323.15,No
3,107.95,Month-to-month,318.6,No
2,83.8,Month-to-month,163.7,No
9,74.25,Month-to-month,639.65,Yes
51,56.4,One year,2928.5,No
6,20.1,Two year,100.35,No
3,94.9,Month-to-month,273.2,No
17,94.2,Month-to-month,1608.15,No
30,49.9,Month-to-month,1441.95,No
31,71.05,Month-to-month,2168.15,No
45,81.65,Two year,3618.7,No
64,89.45,One year,5692.65,No
1,59.85,Month-to-month,59.85,Yes
1,69.6,Month-to-month,69.6,Yes
61,99.0,One year,5969.3,No
1,19.05,Month-to-month,19.05,No
9,45.4,Month-to-month,418.8,Yes
72,114.45,Two year,8100.55,No
1,19.5,Month-to-month,19.5,Yes
7,44.25,Month-to-month,313.45,No
66,90.55,One year,6130.95,No
1,69.9,Month-to-month,69.9,Yes
40,20.4,Month-to-month,745.3,No
16,71.4,Month-to-month,1212.1,No
2,87.15,Month-to-month,183.75,Yes
67,24.85,Two year,1583.5,No
41,104.45,One year,4162.05,No
56,19.8,Two year,1119.9,No
72,116.45,Two year,8013.55,No
3,84.75,Month-to-month,264.85,Yes
54,20.05,Two year,1102.4,No
52,110.75,Month-to-month,5832.0,No
50,89.7,Two year,4304.5,No
14,89.95,Month-to-month,1178.4,Yes
27,48.7,One year,1421.75,No
72,96.6,Two year,6827.5,No
62,74.3,One year,4698.05,No
12,54.3,Month-to-month,654.5,No
44,74.85,One year,3268.05,No
54,79.95,Two year,4362.05,No
68,20.05,Two year,1386.9,No
20,19.4,Month-to-month,415.4,No
50,54.9,One year,2614.1,No
58,24.45,Two year,1513.6,No
35,89.65,Month-to-month,3161.6,No
2,45.4,Month-to-month,80.95,No
63,75.7,Two year,4676.7,No
58,110.65,One year,6526.65,No
27,20.55,One year,583.3,No
71,115.15,Two year,8078.1,No
63,58.55,One year,3503.5,No
71,93.25,Month-to-month,6669.45,No
41,113.2,Month-to-month,4689.5,Yes
13,90.5,Month-to-month,1201.15,Yes
2,79.0,Month-to-month,143.65,Yes
68,19.35,Two year,1292.65,No
1,48.75,Month-to-month,48.75,No
65,109.05,Two year,7108.2,No
72,25.0,Two year,1802.55,No
28,54.9,Month-to-month,1505.15,No
72,24.75,Two year,1859.1,No
2,91.15,Month-to-month,168.5,No
18,20.15,One year,390.85,Yes
60,104.35,One year,6339.45,No
26,66.05,Month-to-month,1652.4,No
1,71.65,Month-to-month,71.65,Yes
4,20.35,Month-to-month,77.5,Yes
68,92.2,Two year,6392.85,No
38,84.25,Month-to-month,3264.5,Yes
42,105.2,One year,4599.15,No
57,19.6,Two year,1134.25,No
54,30.4,Month-to-month,1621.35,No
12,78.1,Month-to-month,947.3,Yes
44,61.5,One year,2722.2,No
42,69.4,Month-to-month,3058.3,No
72,24.75,Two year,1769.6,No
71,91.05,Two year,6293.75,No
19,89.65,Month-to-month,1761.05,Yes
23,73.65,Month-to-month,1642.75,No
30,19.4,Two year,578.5,No
35,26.2,One year,954.9,No
10,98.7,Month-to-month,973.25,Yes
1,43.85,Month-to-month,43.85,No
22,69.7,Month-to-month,1490.4,No
7,38.55,Two year,280.0,No
36,53.1,Two year,1901.25,No
34,20.65,Month-to-month,716.4,No
72,64.45,Two year,4720.0,No
36,25.1,Two year,930.95,No
1,76.35,Month-to-month,76.35,Yes
23,79.15,Month-to-month,1676.95,Yes
32,85.0,Month-to-month,2642.05,Yes
71,95.15,One year,6770.85,No
23,79.35,Month-to-month,1835.3,No
17,96.65,One year,1588.25,No
1,75.5,Month-to-month,75.5,No
12,19.7,Two year,258.35,No
72,20.5,Two year,1502.25,No
1,19.2,Month-to-month,19.2,No
72,98.35,Two year,6929.4,No
60,74.35,Month-to-month,4453.3,No
61,51.35,Two year,3244.4,No
6,45.65,Month-to-month,323.45,No
32,85.3,Month-to-month,2661.1,Yes
31,86.55,Month-to-month,2697.4,Yes
19,73.85,Month-to-month,1424.5,Yes
72,20.3,Two year,1401.15,No
32,54.2,Month-to-month,1739.6,No
65,90.65,Month-to-month,5931.0,No
45,50.9,Month-to-month,2333.85,No
42,25.05,One year,949.85,No
8,74.85,Month-to-month,572.45,No
32,20.5,Two year,696.8,No
22,63.55,Month-to-month,1381.8,No
57,44.85,Month-to-month,2572.95,Yes
1,47.95,Month-to-month,47.95,No
1,45.1,Month-to-month,45.1,Yes
1,45.0,Month-to-month,45.0,No
24,96.0,Month-to-month,2122.45,Yes
1,20.05,Month-to-month,20.05,Yes
54,90.05,Month-to-month,4931.8,No
4,25.3,Two year,116.95,No
65,108.65,Two year,6937.95,Yes
56,24.3,One year,1261.7,No
45,75.95,Month-to-month,3273.8,No
71,19.7,Two year,1415.85,No
59,66.4,One year,3958.2,No
69,35.75,One year,2492.25,No
19,18.8,One year,279.2,No
55,19.4,Two year,1083.0,No
38,19.3,One year,755.5,No
10,45.55,Month-to-month,402.6,Yes
47,67.45,Month-to-month,3252.0,No
2,35.1,Month-to-month,68.75,Yes
1,46.2,Month-to-month,46.2,Yes
1,45.15,Month-to-month,45.15,Yes
1,43.3,Month-to-month,43.3,Yes
46,20.1,Two year,936.85,No
38,57.15,Month-to-month,2250.65,Yes
65,58.9,Two year,3857.1,No
19,73.2,Month-to-month,1441.1,Yes
52,85.35,Month-to-month,4338.6,Yes
71,19.45,Two year,1378.45,No
1,45.95,Month-to-month,45.95,Yes
52,50.5,Month-to-month,2566.3,No
6,25.1,One year,171.0,No
26,60.7,One year,1597.4,No
48,99.0,One year,4744.35,No
64,104.4,One year,6721.6,No
3,83.75,Month-to-month,247.25,Yes
1,44.05,Month-to-month,44.05,No
72,24.1,Two year,1734.65,No
1,45.55,Month-to-month,45.55,No
51,93.8,Month-to-month,4539.35,No
41,19.7,Two year,804.25,No
72,70.65,Two year,5011.15,No
43,86.45,Two year,3574.5,No
72,114.1,Two year,8086.4,No
47,95.2,One year,4563.0,No
72,88.55,Two year,6362.35,No
3,20.75,Month-to-month,67.1,No
1,70.05,Month-to-month,70.05,Yes
2,86.0,Month-to-month,165.45,Yes
26,44.65,Month-to-month,1156.55,No
29,60.2,Month-to-month,1834.15,No
35,100.5,Month-to-month,3653.35,Yes
27,55.45,One year,1477.65,No
24,70.3,Month-to-month,1706.45,No
67,60.4,Two year,3953.7,No
16,72.65,Month-to-month,1194.3,Yes
23,55.8,One year,1327.85,No
14,31.1,Month-to-month,419.7,No
1,21.0,Month-to-month,21.0,Yes
1,45.1,Month-to-month,45.1,Yes
4,50.95,Month-to-month,207.35,No
16,69.1,Month-to-month,1083.7,No
46,43.95,Month-to-month,2007.85,No
68,86.5,Two year,5882.75,No
38,69.95,Month-to-month,2657.55,No
30,50.4,Month-to-month,1527.5,Yes
5,78.95,Month-to-month,378.4,Yes
17,90.95,Month-to-month,1612.2,No
4,19.9,Two year,76.65,No
12,20.15,One year,260.7,No
72,90.6,Two year,6441.85,No
3,92.0,Month-to-month,266.8,No
56,94.45,Month-to-month,5124.6,Yes
41,24.85,One year,962.25,No
40,36.0,One year,1382.9,No
7,78.5,Month-to-month,571.05,No
69,19.95,Two year,1399.35,No
7,20.65,One year,150.0,No
5,30.5,Month-to-month,167.2,No
72,106.1,Two year,7657.4,No
44,20.5,One year,865.05,No
65,95.5,One year,6153.85,No
3,64.6,Month-to-month,174.2,No
24,51.1,Month-to-month,1269.6,No
44,84.8,Month-to-month,3862.55,Yes
72,89.1,Two year,6352.4,No
24,54.95,Month-to-month,1348.5,No
1,50.9,Month-to-month,50.9,Yes
22,20.45,Month-to-month,471.55,No
70,85.95,Two year,5931.75,No
25,60.35,Month-to-month,1404.65,No
37,19.8,Two year,726.1,No
22,85.35,Month-to-month,1961.6,No
59,72.1,Two year,4194.85,No
49,99.8,Month-to-month,4872.45,Yes
47,107.35,Month-to-month,5118.95,Yes
31,19.55,Month-to-month,658.95,Yes
1,81.05,Month-to-month,81.05,No
3,20.5,Month-to-month,76.95,No
53,111.8,One year,5809.75,No
1,20.2,Month-to-month,20.2,No
20,19.7,One year,415.9,No
3,79.1,Month-to-month,246.5,Yes
51,19.85,One year,996.95,No
51,60.5,One year,3145.15,No
13,19.55,Two year,265.3,No
1,20.9,Month-to-month,20.9,No
1,21.05,Month-to-month,21.05,No
63,71.5,One year,4576.3,No
3,54.65,Month-to-month,189.1,No
46,19.2,Two year,908.15,No
1,49.8,Month-to-month,49.8,No
8,25.5,Month-to-month,215.2,Yes
71,20.5,Two year,1500.95,No
55,90.4,Month-to-month,5099.15,No
70,90.25,One year,6385.95,No
2,80.75,Month-to-month,159.45,Yes
67,104.6,Two year,6885.75,No
65,91.85,Month-to-month,5940.85,Yes
14,50.2,Month-to-month,668.85,No
20,95.5,Month-to-month,1916.2,No
1,75.35,Month-to-month,75.35,Yes
1,75.45,Month-to-month,75.45,Yes
49,95.4,Month-to-month,4613.95,No
72,101.3,Two year,7261.25,No
46,53.1,Month-to-month,2459.8,No
24,84.85,Month-to-month,2048.8,No
5,34.25,Month-to-month,163.55,No
33,88.6,Month-to-month,2888.7,No
42,60.15,One year,2421.6,No
23,99.95,One year,2292.75,No
8,70.7,Month-to-month,553.4,No
66,54.8,One year,3465.7,No
24,49.55,Month-to-month,1210.4,Yes
24,54.8,Month-to-month,1291.3,No
69,78.6,One year,5356.45,Yes
53,100.3,One year,5200.8,No
60,53.6,Two year,3237.05,No
7,81.1,Month-to-month,576.65,Yes
20,19.35,One year,433.75,No
23,85.6,Month-to-month,1868.4,No
72,80.8,Two year,5728.55,No
11,74.95,Month-to-month,825.7,Yes
21,19.6,Two year,390.4,No
1,93.55,Month-to-month,93.55,Yes
31,90.7,Month-to-month,2845.15,No
57,69.75,Two year,3894.4,No
45,20.0,Two year,886.4,No
10,95.25,Month-to-month,1021.55,No
58,102.1,Month-to-month,5885.4,Yes
14,19.95,Month-to-month,268.4,No
27,80.85,One year,2204.35,No
14,90.9,Month-to-month,1259.0,Yes
12,29.2,Month-to-month,309.1,Yes
69,93.3,Two year,6398.05,No
25,89.15,Month-to-month,2257.75,Yes
58,108.85,One year,6287.25,Yes
35,46.35,Two year,1662.05,No
16,84.75,Month-to-month,1350.15,Yes
45,78.75,One year,3600.65,No
17,83.55,Month-to-month,1329.15,No
1,45.7,Month-to-month,45.7,Yes
22,19.6,One year,422.5,No
1,69.95,Month-to-month,69.95,Yes
67,67.85,Two year,4627.65,No
67,105.65,Two year,6717.9,No
2,44.6,Month-to-month,97.1,Yes
23,74.95,Month-to-month,1710.45,Yes
9,75.5,Month-to-month,637.4,No
5,20.15,Month-to-month,117.95,No
54,45.2,Two year,2460.55,No
57,95.25,Two year,5464.65,Yes
24,89.85,Month-to-month,2165.05,Yes
49,100.45,One year,4941.8,Yes
5,47.15,Month-to-month,223.15,Yes
2,80.2,Month-to-month,181.1,Yes
4,87.1,Month-to-month,341.45,Yes
70,79.25,Two year,5731.85,No
5,75.9,Month-to-month,357.75,Yes
53,85.7,Month-to-month,4616.1,No
47,98.75,Month-to-month,4533.7,Yes
31,20.1,One year,589.25,No
13,61.8,Month-to-month,750.1,No
28,49.9,Month-to-month,1410.25,No
10,86.45,Month-to-month,830.85,Yes
38,20.4,Two year,743.5,No
1,45.3,Month-to-month,45.3,Yes
67,104.1,One year,7040.85,Yes
52,75.4,One year,3865.45,No
62,108.15,Two year,6825.65,No
16,86.25,Month-to-month,1340.1,No
5,81.0,Month-to-month,371.65,Yes
12,95.7,One year,1184.0,No
72,116.85,Two year,8477.7,No
71,105.75,One year,7382.85,No
24,20.15,One year,456.85,No
15,19.6,Two year,331.6,No
67,90.6,One year,6056.15,Yes
2,60.95,Month-to-month,134.6,No
5,25.05,Month-to-month,125.5,No
15,88.15,Month-to-month,1390.6,Yes
1,20.2,Month-to-month,20.2,Yes
41,60.3,One year,2511.3,No
43,63.95,Month-to-month,2737.05,No
1,74.3,Month-to-month,74.3,No
1,70.6,Month-to-month,70.6,No
26,90.8,Month-to-month,2361.8,Yes
22,79.35,Month-to-month,1730.35,Yes
71,90.55,Two year,6404.0,No
7,19.45,Two year,165.35,No
28,64.45,Month-to-month,1867.6,No
16,69.65,Month-to-month,1043.3,No
7,19.5,One year,128.6,No
69,110.5,Two year,7455.45,No
1,24.7,Month-to-month,24.7,No
3,77.4,Month-to-month,206.15,No
21,96.8,Month-to-month,2030.3,Yes
69,85.4,Month-to-month,5869.4,No
71,47.6,Two year,3377.8,No
69,19.4,Two year,1346.2,No
48,103.85,Month-to-month,4946.05,No
47,83.35,Month-to-month,4065.0,Yes
2,49.4,Month-to-month,106.55,Yes
45,108.45,Month-to-month,4964.7,No
51,81.0,Month-to-month,4085.75,No
22,79.2,Month-to-month,1742.75,Yes
72,86.65,Two year,6224.8,No
37,92.95,Month-to-month,3415.25,No
71,90.35,Two year,6325.25,No
7,48.7,Month-to-month,340.25,Yes
66,25.15,Two year,1683.6,No
51,76.4,One year,3966.3,No
30,19.55,One year,608.5,No
34,85.35,Month-to-month,2896.6,No
64,24.8,Two year,1514.85,No
65,103.15,One year,6792.45,No
47,100.75,Month-to-month,4669.2,No
1,95.6,Month-to-month,95.6,Yes
49,59.75,Month-to-month,2934.3,Yes
67,94.1,Two year,6302.8,No
39,19.35,One year,779.2,No
14,19.9,Month-to-month,283.75,No
43,108.15,Month-to-month,4600.7,Yes
56,101.05,Month-to-month,5594.0,No
14,59.1,One year,772.85,No
1,71.35,Month-to-month,71.35,Yes
16,55.85,One year,857.8,No
70,106.05,Month-to-month,7554.05,No
72,84.1,Two year,5981.65,No
23,75.3,Month-to-month,1702.9,No
21,24.7,Month-to-month,467.15,No
1,20.15,Month-to-month,20.15,Yes
1,69.75,Month-to-month,69.75,Yes
32,93.2,Month-to-month,2931.0,Yes
17,80.85,Month-to-month,1400.85,Yes
4,33.65,Month-to-month,137.85,Yes
36,55.8,One year,1941.5,No
50,39.7,Two year,1932.75,No
48,29.5,Month-to-month,1423.05,No
50,20.15,Two year,970.85,No
72,79.55,Two year,5810.9,No
10,24.8,Month-to-month,223.9,No
18,19.65,Month-to-month,391.7,No
1,79.95,Month-to-month,79.95,Yes
1,19.3,Month-to-month,19.3,Yes
9,94.05,Month-to-month,811.65,No
2,90.75,Month-to-month,174.75,No
40,78.85,Month-to-month,3126.85,No
69,99.5,One year,6841.45,No
37,99.2,One year,3754.6,Yes
18,80.55,Month-to-month,1406.65,No
11,70.2,Month-to-month,834.7,No
8,85.2,Month-to-month,627.4,Yes
3,75.25,Month-to-month,242.0,Yes
55,59.45,One year,3157.0,No
33,93.35,Month-to-month,3092.0,No
46,44.95,Month-to-month,2168.9,No
34,26.1,Two year,980.35,No
3,20.2,Month-to-month,65.95,No
30,21.25,Two year,711.9,No
33,59.4,One year,1952.8,No
45,95.0,One year,4368.85,No
40,61.9,Month-to-month,2647.1,No
71,118.65,Two year,8477.6,No
1,54.35,Month-to-month,54.35,Yes
72,64.45,Two year,4528.0,No
22,80.15,Month-to-month,1790.65,No
46,20.2,One year,845.6,No
55,21.0,Two year,1210.3,No
1,20.45,Month-to-month,20.45,No
12,75.85,One year,854.45,No
31,80.45,Month-to-month,2429.1,No
5,24.95,Month-to-month,100.4,Yes
67,75.5,Two year,5229.45,No
1,44.45,Month-to-month,44.45,No
40,42.35,One year,1716.45,Yes
41,74.55,Month-to-month,3023.55,No
1,75.3,Month-to-month,75.3,Yes
51,94.8,One year,4837.6,Yes
42,48.15,Two year,2032.3,No
23,19.65,One year,436.9,No
1,70.55,Month-to-month,70.55,Yes
1,20.15,Month-to-month,20.15,No
56,106.6,Month-to-month,5893.95,No
15,91.0,Month-to-month,1430.05,No
12,25.4,Two year,313.0,No
54,69.95,Two year,3871.85,No
7,66.85,Month-to-month,458.1,No
33,86.15,Month-to-month,2745.7,Yes
16,20.15,Month-to-month,341.35,No
21,64.85,One year,1336.8,No
30,74.85,Two year,2181.75,No
3,50.5,Month-to-month,147.75,No
11,72.9,Month-to-month,818.45,No
62,115.05,One year,7133.45,No
18,19.0,Month-to-month,348.8,No
6,19.55,Month-to-month,128.6,No
46,101.1,One year,4674.4,No
21,84.1,Month-to-month,1737.45,No
68,24.15,Two year,1498.85,No
1,50.1,Month-to-month,50.1,No
25,74.6,Month-to-month,1797.75,No
24,19.75,Two year,498.1,No
30,85.0,Month-to-month,2624.25,Yes
2,80.55,Month-to-month,184.1,Yes
51,106.8,One year,5498.8,No
57,84.5,Two year,4845.4,No
15,25.05,Two year,369.1,No
72,83.7,Two year,6096.9,No
2,75.8,Month-to-month,160.75,Yes
28,96.6,Month-to-month,2684.35,No
29,98.5,Month-to-month,3004.15,Yes
70,101.1,Two year,6994.8,No
13,20.2,One year,273.25,No
59,94.05,One year,5483.9,No
13,95.25,Month-to-month,1233.65,Yes
7,74.4,Month-to-month,527.9,Yes
62,81.0,Two year,4985.9,No
21,60.25,One year,1258.35,No
2,60.85,Month-to-month,111.4,No
1,43.95,Month-to-month,43.95,No
4,86.05,Month-to-month,308.1,No
19,20.25,One year,383.65,No
30,85.15,Month-to-month,2555.9,Yes
67,19.4,Two year,1284.2,No
72,102.65,Two year,7550.3,No
53,19.9,Two year,1110.05,No
5,19.55,One year,99.6,No
71,95.5,Two year,6707.15,No
50,84.15,One year,4164.4,No
56,103.2,Two year,5873.75,No
2,50.2,Month-to-month,109.25,No
2,88.55,Month-to-month,179.25,Yes
24,54.75,Month-to-month,1338.15,Yes
46,19.95,Two year,862.4,No
71,116.25,Two year,8564.75,No
29,31.2,Month-to-month,926.2,No
69,24.45,Two year,1718.2,No
71,84.2,Two year,5956.85,No
1,91.3,Month-to-month,91.3,Yes
56,85.65,Two year,4824.45,No
56,21.2,One year,1238.65,No
1,79.5,Month-to-month,79.5,Yes
28,25.55,One year,672.2,No
19,20.2,Month-to-month,382.2,No
66,63.85,Month-to-month,4264.6,No
17,61.95,One year,1070.7,No
52,25.75,Two year,1345.85,No
19,58.2,One year,1045.25,No
36,85.85,One year,3003.55,No
7,70.1,Month-to-month,467.55,Yes
72,104.9,One year,7537.5,No
67,111.3,One year,7482.1,Yes
34,99.85,One year,3343.15,No
57,95.25,Month-to-month,5427.05,Yes
7,86.25,Month-to-month,587.1,Yes
1,100.8,Month-to-month,100.8,Yes
8,19.55,Month-to-month,161.15,No
69,104.0,Two year,7028.5,No
50,104.4,One year,5232.9,No
10,19.5,One year,225.85,No
12,25.25,Two year,274.7,No
14,86.3,Month-to-month,1180.95,Yes
70,49.85,Two year,3370.2,No
64,108.95,Month-to-month,7111.3,No
66,89.9,Two year,5958.85,No
71,82.0,Two year,5999.85,No
20,89.95,Month-to-month,1648.45,No
72,79.35,Two year,5753.25,No
71,64.05,Two year,4492.9,No
38,101.15,Month-to-month,3956.7,No
28,89.95,Month-to-month,2625.55,Yes
17,76.45,Month-to-month,1233.4,Yes
33,39.1,One year,1309.0,No
23,34.6,Two year,813.45,No
58,19.55,One year,1108.8,No
70,104.45,Two year,7349.35,No
4,70.5,Month-to-month,294.2,No
45,20.35,Two year,929.2,No
10,70.0,Month-to-month,740.0,Yes
36,19.45,Two year,754.5,No
54,69.9,Month-to-month,3883.3,No
23,59.7,Two year,1414.2,No
41,78.35,One year,3211.2,No
5,71.45,Month-to-month,371.6,No
27,45.85,One year,1246.4,No
1,95.85,Month-to-month,95.85,No
67,35.7,Two year,2545.7,No
72,89.55,Two year,6448.85,No
56,24.95,Two year,1468.9,No
44,24.85,One year,1013.6,No
66,100.8,Month-to-month,6690.75,No
34,64.4,One year,2088.75,Yes
69,105.35,Two year,7240.65,No
1,102.45,Month-to-month,102.45,Yes
40,19.65,Two year,830.25,No
30,54.45,Month-to-month,1588.7,No
11,70.5,Month-to-month,829.3,No
15,20.1,One year,302.45,No
11,69.35,Month-to-month,712.25,No
64,19.8,One year,1336.65,No
72,74.4,Two year,5360.75,No
72,93.05,Two year,6735.05,No
1,51.2,Month-to-month,51.2,No
15,65.6,One year,1010.0,No
60,80.55,One year,4847.05,No
56,52.7,One year,3019.7,No
8,20.85,Two year,161.65,No
3,80.1,Month-to-month,217.55,Yes
49,52.15,Month-to-month,2583.75,No
2,80.2,Month-to-month,146.05,Yes
6,98.15,Month-to-month,567.45,Yes
70,114.95,Two year,7711.25,No
12,112.95,Month-to-month,1384.75,Yes
52,104.45,One year,5481.25,No
72,113.65,Two year,8124.2,No
40,20.6,Two year,827.3,No
1,70.9,Month-to-month,70.9,Yes
3,86.85,Month-to-month,220.95,Yes
40,91.55,Month-to-month,3673.6,No
1,49.85,Month-to-month,49.85,No
30,19.8,One year,576.65,No
23,99.85,Month-to-month,2331.3,Yes
1,74.5,Month-to-month,74.5,Yes
44,104.15,Month-to-month,4495.65,No
65,109.15,Month-to-month,6941.2,Yes
7,48.2,Month-to-month,340.35,No
72,25.1,Two year,1789.9,No
8,100.15,Month-to-month,908.55,No
16,65.2,Month-to-month,1043.35,Yes
66,99.5,Month-to-month,6822.15,Yes
1,71.55,Month-to-month,71.55,Yes
3,55.9,Month-to-month,157.55,No
53,93.9,Month-to-month,5029.2,Yes
8,64.4,Month-to-month,581.7,No
69,108.4,Two year,7318.2,Yes
5,85.3,Month-to-month,420.45,No
72,107.45,Two year,7576.7,No
13,48.75,Month-to-month,633.4,Yes
4,85.65,Month-to-month,321.65,Yes
54,91.3,Two year,4965.0,No
72,85.95,Two year,6151.9,No
12,106.7,Month-to-month,1253.9,Yes
1,25.15,Month-to-month,25.15,Yes
1,45.2,Month-to-month,45.2,No
54,110.35,One year,5893.15,Yes
69,79.2,Two year,5420.65,No
48,55.5,Two year,2627.35,No
48,103.25,One year,5037.55,Yes
8,90.25,Month-to-month,743.75,No
71,91.25,Two year,6589.6,No
2,47.8,Month-to-month,92.45,Yes
67,100.9,One year,6733.15,No
34,97.7,Month-to-month,3410.0,No
3,69.85,Month-to-month,199.85,No
9,65.6,One year,593.3,No
71,104.65,One year,7288.4,No
57,90.45,Two year,5229.8,No
72,63.7,Two year,4464.8,No
48,104.5,Month-to-month,5068.05,No
18,20.1,One year,401.85,No
43,104.3,One year,4451.85,No
72,93.25,Two year,6688.95,No
35,73.45,One year,2661.1,No
4,20.7,Month-to-month,73.05,No
49,25.25,Two year,1211.65,No
71,100.5,Two year,7030.65,No
11,90.6,Month-to-month,1020.2,No
63,89.4,Two year,5597.65,No
65,95.45,Month-to-month,6223.3,No
49,20.45,Two year,1024.65,No
29,98.6,Month-to-month,2933.2,Yes
15,83.05,Month-to-month,1258.3,Yes
4,19.95,Month-to-month,82.9,No
72,109.15,One year,7789.6,No
26,85.7,Month-to-month,2067.0,No
35,102.05,Month-to-month,3452.55,No
57,94.7,One year,5468.95,No
28,64.4,Month-to-month,1802.15,No
25,26.8,One year,733.55,No
47,66.05,One year,3021.45,No
57,65.2,Month-to-month,3687.85,No
16,85.05,Month-to-month,1391.15,No
5,55.8,Month-to-month,274.35,No
17,70.4,Month-to-month,1214.05,Yes
56,104.75,One year,5510.65,Yes
72,19.95,Two year,1322.85,No
21,94.25,Month-to-month,1973.75,Yes
48,45.0,One year,2196.3,No
68,114.9,Two year,7843.55,No
30,106.4,Month-to-month,3211.9,No
3,46.1,Month-to-month,130.15,No
14,39.7,Two year,692.35,No
4,20.05,Month-to-month,85.5,No
71,95.75,Two year,6849.4,No
8,24.4,One year,203.95,No
61,33.6,Month-to-month,2117.2,No
72,90.45,Two year,6565.85,No
5,84.0,Month-to-month,424.75,No
49,67.4,Two year,3306.85,No
8,19.7,Month-to-month,168.9,No
3,80.35,Month-to-month,253.8,No
9,19.6,Two year,197.4,No
67,54.2,Two year,3838.2,No
46,45.2,Month-to-month,2065.15,No
67,75.1,One year,5064.45,No
55,19.7,One year,1140.05,No
33,72.75,Month-to-month,2447.45,No
62,20.05,Two year,1263.9,No
1,45.95,Month-to-month,45.95,Yes
49,39.2,Month-to-month,1838.15,No
1,44.75,Month-to-month,44.75,No
14,82.65,Month-to-month,1185.0,No
18,93.9,Month-to-month,1743.9,No
1,70.15,Month-to-month,70.15,Yes
1,85.55,Month-to-month,85.55,Yes
72,117.15,Two year,8529.5,No
64,99.25,Two year,6549.45,No
69,112.55,Two year,7806.5,No
1,25.7,Month-to-month,25.7,No
71,90.3,Two year,6287.3,No
66,49.4,One year,3251.85,No
2,19.4,Month-to-month,50.6,No
71,109.7,Two year,7904.25,No
11,61.25,One year,729.95,No
47,55.3,Month-to-month,2654.05,No
35,70.3,Month-to-month,2416.55,Yes
32,106.35,Month-to-month,3520.75,Yes
60,103.75,Month-to-month,5969.95,No
11,19.5,One year,226.8,No
29,39.5,One year,1082.75,No
21,26.05,Month-to-month,565.75,No
48,91.05,Month-to-month,4370.75,No
3,29.65,Month-to-month,90.05,No
43,50.2,Month-to-month,2169.4,No
5,105.3,Month-to-month,550.6,No
1,55.45,Month-to-month,55.45,No
71,85.45,One year,6300.85,No
8,19.8,One year,160.05,No
8,59.25,Month-to-month,436.6,No
20,90.7,Month-to-month,1781.35,No
33,103.7,One year,3467.0,Yes
71,79.05,One year,5552.5,No
31,90.7,One year,2835.5,No
38,95.0,One year,3591.25,No
1,88.35,Month-to-month,88.35,Yes
2,30.25,Month-to-month,63.75,No
12,49.85,Month-to-month,617.15,No
9,93.0,Month-to-month,870.25,No
11,54.55,Month-to-month,601.25,No
6,19.7,Month-to-month,111.65,No
71,84.8,One year,6046.1,No
42,94.45,One year,3923.8,No
8,94.2,Month-to-month,777.3,Yes
5,96.25,Month-to-month,512.45,Yes
2,70.7,Month-to-month,141.45,Yes
45,20.85,Two year,892.15,No
28,60.0,One year,1682.05,No
43,80.45,Month-to-month,3398.9,No
60,84.95,Two year,4984.85,No
42,33.55,One year,1445.3,Yes
7,49.65,Two year,305.55,No
25,20.2,One year,507.9,No
40,94.55,Month-to-month,3640.45,Yes
27,100.5,One year,2673.45,No
10,35.75,Month-to-month,389.8,No
27,86.45,Month-to-month,2401.05,No
11,53.8,One year,651.55,No
4,38.55,Month-to-month,156.1,No
68,39.9,Month-to-month,2796.35,No
1,70.05,Month-to-month,70.05,No
18,20.1,One year,407.05,No
57,112.95,Two year,6465.0,Yes
26,20.3,Month-to-month,511.25,No
17,35.65,Month-to-month,646.05,No
1,35.9,Month-to-month,35.9,Yes
38,99.25,Month-to-month,3777.15,Yes
59,82.95,One year,4903.15,No
30,55.65,Two year,1653.85,No
2,24.45,Month-to-month,47.5,Yes
50,25.2,One year,1306.3,No
9,50.8,One year,463.6,No
